,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,arch_id,n,d,gbs,lr,train_loss,val_loss,cluster,time_last_mod
117,117.0,117.0,117.0,attn,50M,0.5B,32,0.005,3.6133313179016113,3.5815231345201792,mpi,2026-06-03 14:44:50
118,118.0,118.0,118.0,attn,50M,1.0B,32,0.0025,3.4592857360839844,3.4756360006959817,mpi,2026-06-03 14:44:40
119,119.0,119.0,119.0,attn,50M,0.5B,32,0.0025,3.602062940597534,3.573485772860677,mpi,2026-06-03 15:02:11
120,120.0,120.0,120.0,attn,50M,1.0B,32,0.04,3.86158299446106,3.874654427955025,mpi,2026-06-03 14:45:00
121,121.0,121.0,121.0,attn,50M,0.5B,32,0.04,3.894294261932373,3.866476396196767,mpi,2026-06-03 15:01:30
122,122.0,122.0,122.0,attn,50M,1.0B,32,0.008,3.5363805294036865,3.551654412558204,mpi,2026-06-25 13:19:23
123,123.0,123.0,123.0,attn,50M,3.0B,32,0.008,3.5184662342071533,3.4430443377871263,mpi,2026-06-25 10:48:56
124,124.0,124.0,124.0,attn,50M,0.5B,32,0.008,3.676169395446777,3.646123272807975,mpi,2026-06-25 13:08:45
125,125.0,125.0,125.0,attn,20M,1.0B,16,0.004,3.788015127182007,3.7450337957163327,mpi,2026-06-25 05:57:06
126,126.0,126.0,126.0,attn,20M,0.5B,16,0.004,3.90657114982605,3.815163354404637,mpi,2026-06-25 13:01:39
127,127.0,127.0,127.0,attn,20M,1.0B,16,0.002,3.764760971069336,3.7178179178081576,mpi,2026-06-25 06:21:48
128,128.0,128.0,128.0,attn,20M,0.5B,16,0.002,3.8897573947906494,3.795532998882356,mpi,2026-06-25 13:01:41
129,129.0,129.0,129.0,attn,20M,1.0B,16,0.001,3.757922649383545,3.711088852804216,mpi,2026-06-25 06:21:27
130,130.0,130.0,130.0,attn,20M,0.5B,16,0.001,3.886729240417481,3.795581890325077,mpi,2026-06-25 13:01:41
131,131.0,131.0,131.0,attn,20M,1.0B,16,0.08,4.37779426574707,4.3336914586239175,mpi,2026-06-01 11:10:09
132,132.0,132.0,132.0,attn,20M,0.5B,16,0.08,4.427982330322266,4.337743624702829,mpi,2026-06-03 13:43:36
133,133.0,133.0,133.0,attn,20M,1.0B,16,0.0005,3.776963233947754,3.724939546428743,mpi,2026-06-25 05:57:15
134,134.0,134.0,134.0,attn,20M,0.5B,16,0.0005,3.9162986278533936,3.827045852629865,mpi,2026-06-25 13:01:34
135,135.0,135.0,135.0,attn,20M,1.0B,16,0.00025,3.814518451690674,3.7620819091796873,mpi,2026-06-25 05:56:57
136,136.0,136.0,136.0,attn,20M,0.5B,16,0.00025,3.98178505897522,3.895341236864934,mpi,2026-06-25 13:00:14
137,137.0,137.0,137.0,attn,20M,1.0B,16,0.01,3.8954577445983887,3.8385113426896393,mpi,2026-06-01 11:10:24
138,138.0,138.0,138.0,attn,20M,0.5B,16,0.01,3.949082851409912,3.861886355916008,mpi,2026-06-03 13:38:52
139,139.0,139.0,139.0,attn,20M,0.5B,16,0.02,4.056693077087402,3.9604213253396456,mpi,2026-06-03 13:38:13
140,140.0,140.0,140.0,attn,20M,1.0B,16,0.02,4.010327339172363,3.954373592626853,mpi,2026-06-01 11:10:25
141,141.0,141.0,141.0,attn,20M,1.0B,16,0.005,3.823610782623291,3.7770884834352088,mpi,2026-06-01 10:41:49
142,142.0,142.0,142.0,attn,20M,0.5B,16,0.005,3.901236772537232,3.813432306539817,mpi,2026-06-03 13:43:48
143,143.0,143.0,143.0,attn,20M,1.0B,16,0.0025,3.790163278579712,3.742248404612307,mpi,2026-06-01 11:10:47
144,144.0,144.0,144.0,attn,20M,0.5B,16,0.0025,3.8811464309692383,3.7931044054813072,mpi,2026-06-03 13:44:14
145,145.0,145.0,145.0,attn,20M,1.0B,16,0.04,4.194573879241943,4.152951579797463,mpi,2026-06-01 10:42:41
146,146.0,146.0,146.0,attn,20M,0.5B,16,0.04,4.231667995452881,4.1436467358323394,mpi,2026-06-03 13:38:02
147,147.0,147.0,147.0,attn,20M,1.0B,16,0.008,3.8401191234588623,3.789126192937132,mpi,2026-06-25 05:59:45
148,148.0,148.0,148.0,attn,20M,0.5B,16,0.008,3.941746234893799,3.859900990470511,mpi,2026-06-25 13:02:51
149,149.0,149.0,149.0,attn,20M,15.0B,64,0.004,3.5628790855407715,3.5354746658551064,mpi,2026-06-23 12:28:44
150,150.0,150.0,150.0,attn,20M,1.0B,32,0.004,3.703392505645752,3.70852278251397,mpi,2026-06-25 13:02:10
151,151.0,151.0,151.0,attn,20M,3.0B,32,0.004,3.6971514225006095,3.625062092354423,mpi,2026-06-25 07:14:22
152,152.0,152.0,152.0,attn,20M,0.5B,32,0.004,3.815707206726074,3.789029828811947,mpi,2026-06-25 12:56:57
153,153.0,153.0,153.0,attn,20M,1.0B,32,0.002,3.69256854057312,3.7012794378556704,mpi,2026-06-25 13:02:20
154,154.0,154.0,154.0,attn,20M,3.0B,32,0.002,3.684324979782105,3.612834441034417,mpi,2026-06-25 07:15:45
155,155.0,155.0,155.0,attn,20M,0.5B,32,0.002,3.8186347484588623,3.790030783728549,mpi,2026-06-25 12:58:52
156,156.0,156.0,156.0,attn,20M,1.0B,32,0.001,3.702818155288696,3.7099973261356354,mpi,2026-06-25 13:07:23
157,157.0,157.0,157.0,attn,20M,3.0B,32,0.001,3.677457571029663,3.611445144603127,mpi,2026-06-25 07:15:57
158,158.0,158.0,158.0,attn,20M,0.5B,32,0.001,3.8373522758483887,3.811118019254584,mpi,2026-06-25 13:01:41
159,159.0,159.0,159.0,attn,20M,1.0B,32,0.08,4.115326881408691,4.129880803196054,mpi,2026-06-03 14:35:08
160,160.0,160.0,160.0,attn,20M,3.0B,32,0.08,4.224672794342041,4.166872021399047,mpi,2026-06-02 17:16:36
161,161.0,161.0,161.0,attn,20M,0.5B,32,0.08,4.119917392730713,4.098321524105574,mpi,2026-06-03 13:52:29
162,162.0,162.0,162.0,attn,20M,1.0B,32,0.0005,3.729239463806152,3.737484459814272,mpi,2026-06-25 13:07:26
163,163.0,163.0,163.0,attn,20M,3.0B,32,0.0005,3.691483736038208,3.62227117858435,mpi,2026-06-25 07:14:46
164,164.0,164.0,164.0,attn,20M,0.5B,32,0.0005,3.895050287246704,3.8662544849671816,mpi,2026-06-25 13:01:38
165,165.0,165.0,165.0,attn,20M,1.0B,32,0.00025,3.794143676757813,3.803176246191326,mpi,2026-06-25 13:07:12
166,166.0,166.0,166.0,attn,20M,3.0B,32,0.00025,3.712975263595581,3.650076317159753,mpi,2026-06-25 07:11:51
167,167.0,167.0,167.0,attn,20M,0.5B,32,0.00025,4.027510643005371,3.991557005204653,mpi,2026-06-25 13:01:52
168,168.0,168.0,168.0,attn,20M,1.0B,32,0.01,3.723189115524292,3.735234985226079,mpi,2026-06-03 14:35:07
169,169.0,169.0,169.0,attn,20M,3.0B,32,0.01,3.773600816726685,3.706944944042908,mpi,2026-06-02 17:34:13
170,170.0,170.0,170.0,attn,20M,0.5B,32,0.01,3.8120522499084473,3.780038402268761,mpi,2026-06-03 13:43:17
171,171.0,171.0,171.0,attn,20M,1.0B,32,0.02,3.780132293701172,3.792194229991813,mpi,2026-06-03 14:35:08
172,172.0,172.0,172.0,attn,20M,3.0B,32,0.02,3.84702730178833,3.781725761137511,mpi,2026-06-02 17:17:04
173,173.0,173.0,173.0,attn,20M,0.5B,32,0.02,3.847834825515747,3.823746587100782,mpi,2026-06-03 13:52:58
174,174.0,174.0,174.0,attn,20M,1.0B,32,0.005,3.698917865753174,3.7057805469161584,mpi,2026-06-03 14:42:26
175,175.0,175.0,175.0,attn,20M,3.0B,32,0.005,3.731950521469116,3.6633345970982,mpi,2026-06-02 17:16:11
176,176.0,176.0,176.0,attn,20M,0.5B,32,0.005,3.7977333068847656,3.768752520021639,mpi,2026-06-03 13:52:00
177,177.0,177.0,177.0,attn,20M,1.0B,32,0.0025,3.686024427413941,3.69549054691666,mpi,2026-06-03 14:44:35
178,178.0,178.0,178.0,attn,20M,3.0B,32,0.0025,3.7097675800323486,3.638440757989883,mpi,2026-06-02 17:35:02
179,179.0,179.0,179.0,attn,20M,0.5B,32,0.0025,3.800039291381836,3.774894987282,mpi,2026-06-03 13:42:48
180,180.0,180.0,180.0,attn,20M,1.0B,32,0.04,3.910410404205322,3.924124545172641,mpi,2026-06-03 14:35:35
181,181.0,181.0,181.0,attn,20M,3.0B,32,0.04,4.024252891540527,3.9602548244752382,mpi,2026-06-02 17:17:28
182,182.0,182.0,182.0,attn,20M,0.5B,32,0.04,3.932852268218994,3.904541453248576,mpi,2026-06-03 13:43:17
183,183.0,183.0,183.0,attn,20M,1.0B,32,0.008,3.7263071537017822,3.736111052726444,mpi,2026-06-25 13:07:34
184,184.0,184.0,184.0,attn,20M,3.0B,32,0.008,3.722228765487671,3.6539706979927264,mpi,2026-06-25 07:15:22
185,185.0,185.0,185.0,attn,20M,0.5B,32,0.008,3.8412625789642334,3.812551697618083,mpi,2026-06-25 12:57:53
186,186.0,186.0,186.0,attn,300M,1.0B,16,0.004,3.451096534729004,3.4082109083894823,mpi,2026-06-26 00:25:45
187,187.0,187.0,187.0,attn,300M,0.5B,16,0.004,3.603734016418457,3.507318183242297,mpi,2026-06-26 22:53:20
188,188.0,188.0,188.0,attn,300M,1.0B,16,0.002,3.394486904144287,3.3516500613728506,mpi,2026-06-25 21:32:20
189,189.0,189.0,189.0,attn,300M,0.5B,16,0.002,3.5666275024414062,3.463113099238912,mpi,2026-06-26 22:54:40
190,190.0,190.0,190.0,attn,300M,1.0B,16,0.001,3.368307113647461,3.3248699407108493,mpi,2026-06-26 00:26:07
191,191.0,191.0,191.0,attn,300M,0.5B,16,0.001,3.5400309562683105,3.4483452163758823,mpi,2026-06-26 22:53:38
192,192.0,192.0,192.0,attn,300M,1.0B,16,0.0005,3.359365463256836,3.3176031495704024,mpi,2026-06-25 21:32:06
193,193.0,193.0,193.0,attn,300M,0.5B,16,0.0005,3.554847240447998,3.456259087265515,mpi,2026-06-26 22:56:12
194,194.0,194.0,194.0,attn,300M,1.0B,16,0.00025,3.372018814086914,3.328616788739064,mpi,2026-06-25 21:30:37
195,195.0,195.0,195.0,attn,300M,0.5B,16,0.00025,3.581016778945923,3.489813572461488,mpi,2026-06-26 23:11:00
196,196.0,196.0,196.0,attn,300M,1.0B,16,0.008,3.540609836578369,3.4974525905046305,mpi,2026-06-26 00:28:05
197,197.0,197.0,197.0,attn,300M,0.5B,16,0.008,3.681957483291626,3.58685369100727,mpi,2026-06-26 23:01:38
198,198.0,198.0,198.0,attn,300M,1.0B,32,0.004,3.2146425247192383,3.310166473857692,mpi,2026-06-26 23:44:01
199,199.0,199.0,199.0,attn,300M,3.0B,32,0.004,3.1983022689819336,3.1735150524827302,mpi,2026-06-26 06:08:21
200,200.0,200.0,200.0,attn,300M,0.5B,32,0.004,3.521850347518921,3.426576578421671,mpi,2026-06-26 23:15:16
